Item,Data Item,Begin,End,Type,Length,Remarks,File,Min_Date,Max_Date,Record_Type
14,"Original Loan Term, in Months",79,81,Numeric,3,9(3),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
15,"Loan Age, in Months",82,84,Numeric,3,9(3),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
16,"Remaining Loan Term (Remaining Maturity), in
Months",85,87,Numeric,3,9(3),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
17,"Months Delinquent (1,2,3,4,5,6 where 6 means 6+
Scheduled installments due but not paid)",88,88,Numeric,1,9,"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
18,"Months Pre-Paid (1,2,3,4,5,6 where 6 means 6+
Future scheduled installments have been paid )",89,89,Numeric,1,9,"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
19,Loan Gross Margin (ARM Loans only),90,93,Numeric,4,9v9(3),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
20,Loan To Value (LTV),94,98,Numeric,5,9(3)v9(2),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
21,Combined LTV (CLTV),99,103,Numeric,5,9(3)v9(2),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
22,Total Debt Expense Ratio Percent,104,108,Numeric,5,9(3)v9(2),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
23,Credit Score,109,111,Numeric,3,9(3),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
24,Down Payment Assistance (Yes or No),112,112,Character,1,X,"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
25,Buy Down Status (Loan Status) (Yes or No),113,113,Character,1,X,"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
26,Upfront MIP (insurance premium rate),114,118,Numeric,5,9(2)v9(3),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
27,Annual MIP (insurance premium rate),119,123,Numeric,5,9(2)v9(3),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
28,Number of Borrowers,124,124,Numeric,1,9,"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
29,First Time Home Buyer (Yes or No),125,125,Character,1,X,"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
30,Property Type (Number of Living Units),126,126,Numeric,1,9,"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
31,State (2 character State Code),127,128,Character,2,X(2),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
32,MSA,129,133,Numeric,5,9(5),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
33,Third-Party Origination Type,134,134,Numeric,1,9,"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
34,Current Month Liquidation Flag (Yes or No),135,135,Character,1,X,"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
35,Removal Reason,136,136,Numeric,1,9,"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
36,As of Date (CCYYMM),137,142,Numeric,6,9(6),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
1,Record Type T=Pool Trailer information,1,1,Character,1,X,"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,T
2,CUSIP Number,2,10,Character,9,X(9),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,T
3,Pool ID,11,16,Character,6,X(6),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,T
4,"Issue Type (X, C, or M)",17,17,Character,1,X,"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,T
5,Pool Type,18,19,Character,2,X(2),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,T
6,Pool Issue Date,20,27,Numeric,8,9(8),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,T
7,Issuer ID,28,31,Numeric,4,9(4),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,T
8,As of Date (CCYYMM),32,37,Numeric,6,9(6),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,T
9,Loan Count for the Pool,38,44,Numeric,7,9(7),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,T
1,Record Type Z = File Trailer,1,1,Character,1,X,"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,Z
2,"File Name
(GNMA_MBS_LL_XXX_CCYYMM)",2,23,Character,22,X(22),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,Z
3,File Number,24,26,Numeric,3,9(3),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,Z
4,Pool Count (Control Total),27,33,Numeric,7,9(7),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,Z
5,Loan Count (Control Total),34,42,Numeric,9,9(9),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,Z
6,"Total Record Count in File (All Record Types,
Including H and Z records)",43,51,Numeric,9,9(9),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,Z
7,As of Date (CCYYMM),52,57,Numeric,6,9(6),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,Z
